orgID,authorID
30001,10001
30002,10002
30003,10003
30004,10004
30005,10005
30006,10006
30007,10007
30008,10008
30009,10009
30010,10010
30011,10011
30012,10012
30013,10013
30014,10014
30015,10015
30001,10016
30002,10017
30003,10018
30004,10019
30005,10020
30006,10021
30007,10022
30008,10023
30009,10024
30010,10025
30011,10026
30012,10027
30013,10028
30014,10029
30015,10030
30001,10031
30002,10032
30003,10033
30004,10034
30005,10035
30006,10036
30007,10037
30008,10038
30009,10039
30010,10040
30011,10041
30012,10042
30013,10043
30014,10044
30015,10045
30001,10046
30002,10047
30003,10048
30004,10049
30005,10050
30006,10051
30007,10052
30008,10053
30009,10054
30010,10055
30011,10056
30012,10057
30013,10058
30014,10059
30015,10060
30001,10061
30002,10062
30003,10063
30004,10064
30005,10065
30006,10066
30007,10067
30008,10068
30009,10069
30010,10070
30011,10071
30012,10072
30013,10073
30014,10074
30015,10075
30001,10076
30002,10077
30003,10078
30004,10079
30005,10080
30006,10081
30007,10082
30008,10083
30009,10084
30010,10085
30011,10086
30012,10087
30013,10088
30014,10089
30015,10090
30001,10091
30002,10092
30003,10093
30004,10094
30005,10095
30006,10096
30007,10097
30008,10098
30009,10099
30010,10100
30011,10101
30012,10102
30013,10103
30014,10104
30015,10105
30001,10106
30002,10107
30003,10108
30004,10109
30005,10110
30006,10111
30007,10112
30008,10113
30009,10114
30010,10115
30011,10116
30012,10117
30013,10118
30014,10119
30015,10120
30001,10121
30002,10122
30003,10123
30004,10124
30005,10125
30006,10126
30007,10127
30008,10128
30009,10129
30010,10130
30011,10131
30012,10132
30013,10133
30014,10134
30015,10135
30001,10136
30002,10137
30003,10138
30004,10139
30005,10140
30006,10141
30007,10142
30008,10143
30009,10144
30010,10145
30011,10146
30012,10147
30013,10148
30014,10149
30015,10150
